City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
372,Guerrero Negro,MX,27.9769,-114.0611,72.61,67,0,17.07,clear sky
373,Upernavik,GL,72.7868,-56.1549,43.75,95,100,5.19,moderate rain
374,Wittelsheim,FR,47.8094,7.2402,64.15,95,7,5.32,clear sky
375,San Jeronimo,PE,-11.9472,-75.2829,49.32,73,30,4.63,scattered clouds
376,Iaciara,BR,-14.0958,-46.6317,67.87,39,0,3.83,clear sky
377,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,89,96,5.84,overcast clouds
378,Parintins,BR,-2.6283,-56.7358,77.25,60,100,3.38,overcast clouds
379,Unterseen,CH,46.6853,7.8472,64.31,92,13,4.09,few clouds
380,Presidente Epitacio,BR,-21.7633,-52.1156,71.15,34,0,7.54,clear sky
381,Bonavista,CA,48.6499,-53.1147,59.11,90,0,13.09,clear sky
382,Sistranda,NO,63.7256,8.834,69.76,81,7,5.77,clear sky
383,Magadan,RU,59.5667,150.8,60.04,77,82,0.6,broken clouds
